cuenta_sii,nombre,seccion,tipo
1658,Rentas de fuente extranjera,II,CONCEPTO
1659,Intereses percibidos o devengados,II,CONCEPTO
1660,Otros ingresos percibidos o devengados,II,CONCEPTO
1661,Costo directo de los bienes y servicios,II,CONCEPTO
1662,Remuneraciones,II,CONCEPTO
1140,Arriendos,II,CONCEPTO
1663,Depreciación financiera del ejercicio,II,CONCEPTO
1664,Intereses pagados o adeudados,II,CONCEPTO
1665,Gastos por donaciones,II,CONCEPTO
1666,Otros gastos financieros,II,CONCEPTO
1667,Gastos por inversión privada en I+D certificados por CORFO,II,CONCEPTO
1668,Gastos por inversión privada en I+D no certificados por CORFO,II,CONCEPTO
1141,Gastos por exigencias medio ambientales,II,CONCEPTO
1142,Gasto por indemnización o compensación a clientes o usuarios,II,CONCEPTO
1669,Costos y gastos necesarios para producir las rentas de fuente extranjera,II,CONCEPTO
1670,Gastos por impuesto renta e impuesto diferido,II,CONCEPTO
1671,Otros gastos deducidos de los ingresos brutos,II,CONCEPTO
1673,Corrección monetaria saldo deudor (art. 32 N° 1 LIR),III,AJUSTE
1674,Corrección monetaria saldo acreedor (art. 32 N° 2 LIR),III,AJUSTE
1144,Partidas del inciso primero no afectas al IU tasa 40% e inciso segundo art. 21 LIR,III,AJUSTE
1675,Depreciación financiera del ejercicio,III,AJUSTE
1175,Estimación y/o castigos de deudas incobrables según criterios financieros,III,AJUSTE
1676,Rentas tributables no reconocidas financieramente,III,AJUSTE
1677,Gastos agregados por donaciones,III,AJUSTE
1678,Gastos que se deben agregar a la RLI según art. 33 N° 1 LIR,III,AJUSTE
1150,Ingreso diferido por cambio de régimen,III,AJUSTE
1147,Costos y gastos asociados a ingresos no renta (art. 17 LIR),III,AJUSTE
1148,Proporcionalidad gastos imputados a ingresos no renta y/o rentas exentas,III,AJUSTE
1149,Intereses devengados por inversiones en bonos del art. 104 LIR,III,AJUSTE
1151,Ingresos devengados por cambio de régimen,III,AJUSTE
1991,Ajustes de precios de transferencia según artículo 41 E LIR,III,AJUSTE
1152,Gastos adeudados por cambio de régimen,III,AJUSTE
1176,Castigo de deudas incobrables según art. 31 inc. 4° N° 4 LIR,III,AJUSTE
1679,Depreciación tributaria del ejercicio,III,AJUSTE
1680,Gasto goodwill tributario del ejercicio,III,AJUSTE
1681,Impuesto específico a la actividad minera,III,AJUSTE
1974,Componente ad valorem del Royalty Minero según art. 2 Ley N° 21.591,III,AJUSTE
1975,Componente del margen del Royalty Minero según art. 3 o art. 4 Ley N° 21.591,III,AJUSTE
1682,Gastos rechazados afectos a la tributación del art. 21 inc. 1° LIR,III,AJUSTE
1683,Gastos rechazados afectos a la tributación del art. 21 inc. 3° LIR,III,AJUSTE
1684,Otras partidas,III,AJUSTE
1685,Rentas exentas IDPC (art. 33 N°2 LIR),III,AJUSTE
1686,Dividendos y/o utilidades sociales percibidos o devengados (art. 33 N° 2 LIR),III,AJUSTE
1183,Dividendos y/o utilidades sociales percibidas o devengadas (art. 33 N° 2 LIR) ingresos no renta,III,AJUSTE
1687,Gastos aceptados por donaciones,III,AJUSTE
1688,Ingresos no renta generados (art. 17 LIR),III,AJUSTE
1689,Pérdidas de ejercicios anteriores (art. 31 N° 3 LIR),III,AJUSTE
1154,Incentivo al ahorro según art. 14 letra E) LIR,III,AJUSTE
1157,Base del IDPC voluntario según art. 14 letra A) N° 6 LIR y art. 42° transitorio Ley N° 21.210,III,AJUSTE
1690,RENTA LÍQUIDA IMPONIBLE AFECTA AL IDPC O PÉRDIDA TRIBUTARIA,III,AJUSTE
